Time,Peregrine_Lock,Sensor_Temp_A,Sensor_Temp_B,Sensor_Temp_Duty_Cycle,Laser_Temp_A,Laser_Temp_B,Laser_Temp_Duty_Cycle,Laser_Current,Laser_Current_Zero_Cross,Microwave_Ref,Microwave_Ref_Zero_Cross,Zeeman_Freq_Zero_Cross,PCB_Temp_A,PCB_Temp_B,Laser_Diode_Voltage,Diode_Optical_Power,P2V4,P3V3,P8V,N8V,P12V,PCB_Temp_C,PCB_Temp_D,PCB_Temp_E,ICU_Checksum,ICU_Command_Count,ICU_Sync_Count
20160818T110425.571832,42,0,256,5,34816,1,11051,2829056,43,0,256,1417,0,300,11308,11264,0,11264,1,0,1418,0,301,11565,45,45,45,
20160816T171551.274957,5,36608,1,12850,12850,0,50,1,5,36864,1,3355443,13056,0,13056,1,0,1425,0,308,13364,13312,0,13312,52,0,0,
20160818T133003.704645,59,0,256,5,39168,1,15420,3947520,60,0,256,1434,0,317,15677,15616,0,15616,1,0,1435,0,318,15934,62,62,62,
20160816T171625.274957,5,40960,1,17219,17219,0,67,1,5,41216,1,4473924,17408,0,17408,1,0,1442,0,325,17733,17664,0,17664,69,0,0,
20160818T155541.837457,76,0,256,5,43520,1,19789,5065984,77,0,256,1451,0,334,20046,19968,0,19968,1,0,1452,0,335,20303,79,79,79,
20160816T171659.274957,5,45312,1,21588,21588,0,84,1,5,45568,1,5592405,21760,0,21760,1,0,1459,0,342,22102,22016,0,22016,86,0,0,
20160818T182119.970269,93,0,256,5,47872,1,24158,6184448,94,0,256,1468,0,351,24415,24320,0,24320,1,0,1469,0,352,24672,96,96,96,
20160816T171733.274957,5,49664,1,25957,25957,0,101,1,5,49920,1,6710886,26112,0,26112,1,0,1476,0,359,26471,26368,0,26368,103,0,0,
20160818T204658.103082,110,0,256,5,52224,1,28527,7302912,111,0,256,1485,0,368,28784,28672,0,28672,1,0,1486,0,369,29041,113,113,113,
20160816T171807.274957,5,54016,1,30326,30326,0,118,1,5,54272,1,7829367,30464,0,30464,1,0,1493,0,376,30840,30720,0,30720,120,0,0,
20160818T231236.235895,127,0,256,5,56576,1,32896,8421376,128,0,256,1502,0,385,33153,33024,0,33024,1,0,1503,0,386,33410,130,130,130,
20160816T171841.274957,5,58368,1,34695,34695,0,135,1,5,58624,1,8947848,34816,0,34816,1,0,1510,0,393,35209,35072,0,35072,137,0,0,
20160819T013814.368707,144,0,256,5,60928,1,37265,9539840,145,0,256,1519,0,402,37522,37376,0,37376,1,0,1520,0,403,37779,147,147,147,
20160816T171915.274957,5,62720,1,39064,39064,0,152,1,5,62976,1,10066329,39168,0,39168,1,0,1527,0,410,39578,39424,0,39424,154,0,0,
20160819T040352.501519,161,0,256,5,65280,1,41634,10658304,162,0,256,1536,0,419,41891,41728,0,41728,0,0,1536,65295,65295,65295,255,15,255,
20160816T171421.274957,163,41891,41891,41891,41891,41891,41891,10682624,1537,0,420,10790052,0,164,0,256,6,512,1,42405,42405,0,165,0,0,0,1,
20160816T180539.274957,170,43520,0,43520,1,0,1544,1,11250603,43776,0,11206656,256,6,2304,1,44204,44204,0,172,0,256,6,2560,10,0,0,
20160825T212357.274957,179,0,179,0,256,6,4352,436,11842740,0,180,1,0,1554,0,437,46517,46336,0,46336,1,0,1555,0,0,0,1,
20160817T190725.274957,24,0,443,48059,47872,0,47872,256,1561,0,444,12369084,0,188,0,256,6,6656,1,48573,48573,0,189,0,0,0,1,
20160816T180627.274957,194,49664,0,49664,1,0,1568,1,12829635,49920,0,12779520,256,6,8448,1,50372,50372,0,196,0,256,6,8704,34,0,0,
20160826T004845.274957,203,0,203,0,256,6,10496,460,13421772,0,204,1,0,1578,0,461,52685,52480,0,52480,1,0,1579,0,0,0,1,
20160817T223213.274957,48,0,467,54227,54016,0,54016,256,1585,0,468,13948116,0,212,0,256,6,12800,1,54741,54741,0,213,0,0,0,1,
20160816T180715.274957,218,55808,0,55808,1,0,1592,1,14408667,56064,0,14352384,256,6,14592,1,56540,56540,0,220,0,256,6,14848,58,0,0,
20160826T041333.274957,227,0,227,0,256,6,16640,484,15000804,0,228,1,0,1602,0,485,58853,58624,0,58624,1,0,1603,0,0,0,1,
20160818T015701.274957,72,0,491,60395,60160,0,60160,256,1609,0,492,15527148,0,236,0,256,6,18944,1,60909,60909,0,237,0,0,0,1,
20160816T180803.274957,242,61952,0,61952,1,0,1616,1,15987699,62208,0,15925248,256,6,20736,1,62708,62708,0,244,0,256,6,20992,82,0,0,
20160826T073821.274957,251,0,251,0,256,6,22784,508,16579836,0,252,1,0,1626,0,509,65021,64768,0,64768,1,0,1627,0,0,0,1,
20160818T052149.274957,96,0,259,771,768,1,768,65792,1633,0,260,263172,0,260,1,256,6,25088,1,1285,1285,0,261,1,0,1,1,
20160816T180851.274957,10,2560,1,2560,257,0,1640,1,723723,2816,1,720897,256,6,26880,1,3084,3084,0,268,1,256,6,27136,106,0,0,
20160818T074653.282769,113,0,276,5140,5120,1,5120,65792,1650,0,277,1381653,0,277,1,256,6,29440,1,5654,5654,0,278,1,0,1,1,
20160816T180925.274957,27,6912,1,6912,257,0,1657,1,1842204,7168,1,1835009,256,6,31232,1,7453,7453,0,285,1,256,6,31488,123,0,0,
20160818T101157.282769,15,65295,65295,65295,65295,65295,65295,16715520,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,130,0,293,9509,9472,1,9472,65792,1667,0,294,2500134,0,294,1,256,6,33792,1,10023,10023,0,295,1,0,1,1,
20160816T180959.274957,44,11264,1,11264,257,0,1674,1,2960685,11520,1,2949121,256,6,35584,1,11822,11822,0,302,1,256,6,35840,140,0,0,
20160818T123701.282769,147,0,310,13878,13824,1,13824,65792,1684,0,311,3618615,0,311,1,256,6,38144,1,14392,14392,0,312,1,0,1,1,
20160816T181033.274957,61,15616,1,15616,257,0,1691,1,4079166,15872,1,4063233,256,6,39936,1,16191,16191,0,319,1,256,6,40192,157,0,0,
20160818T150205.282769,164,0,327,18247,18176,1,18176,65792,1701,0,328,4737096,0,328,1,256,6,42496,1,18761,18761,0,329,1,0,1,1,
20160816T181107.274957,78,19968,1,19968,257,0,1708,1,5197647,20224,1,5177345,256,6,44288,1,20560,20560,0,336,1,256,6,44544,174,0,0,
20160818T172709.282769,181,0,344,22616,22528,1,22528,65792,1718,0,345,5855577,0,345,1,256,6,46848,1,23130,23130,0,346,1,0,1,1,
20160816T181141.274957,95,24320,1,24320,257,0,1725,1,6316128,24576,1,6291457,256,6,48640,1,24929,24929,0,353,1,256,6,48896,191,0,0,
20160818T195213.282769,198,0,361,26985,26880,1,26880,65792,1735,0,362,6974058,0,362,1,256,6,51200,1,27499,27499,0,363,1,0,1,1,
20160816T181215.274957,112,28672,1,28672,257,0,1742,1,7434609,28928,1,7405569,256,6,52992,1,29298,29298,0,370,1,256,6,53248,208,0,0,
20160818T221717.282769,215,0,378,31354,31232,1,31232,65792,1752,0,379,8092539,0,379,1,256,6,55552,1,31868,31868,0,380,1,0,1,1,
20160816T181249.274957,129,33024,1,33024,257,0,1759,1,8553090,33280,1,8519681,256,6,57344,1,33667,33667,0,387,1,256,6,57600,225,0,0,
20160819T004221.282769,232,0,395,35723,35584,1,35584,65792,1769,0,396,9211020,0,396,1,256,6,59904,1,36237,36237,0,397,1,0,1,1,
20160816T181323.274957,146,37376,1,37376,257,0,1776,1,9671571,37632,1,9633793,256,6,61696,1,38036,38036,0,404,1,256,6,61952,242,0,0,
20160819T030725.282769,249,0,412,40092,39936,1,39936,65792,1786,0,413,10329501,0,413,1,256,6,64256,1,40606,40606,0,414,1,0,1,1,
20160816T181357.274957,15,65295,65295,65295,65295,65295,65295,16715775,1048335,65295,65295,16715775,3840,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,163,41728,1,41728,257,0,1793,1,10790052,41984,1,10747905,256,7,512,1,42405,42405,0,421,1,256,7,768,3,0,0,
20160819T053229.282769,10,0,429,44461,44288,1,44288,65792,1803,0,430,11447982,0,430,1,256,7,3072,1,44975,44975,0,431,1,0,1,1,
20160816T181431.274957,180,46080,1,46080,257,0,1810,1,11908533,46336,1,11862017,256,7,4864,1,46774,46774,0,438,1,256,7,5120,20,0,0,
20160819T075733.282769,27,0,446,48830,48640,1,48640,65792,1820,0,447,12566463,0,447,1,256,7,7424,1,49344,49344,0,448,1,0,1,1,
20160816T181505.274957,197,50432,1,50432,257,0,1827,1,13027014,50688,1,12976129,256,7,9216,1,51143,51143,0,455,1,256,7,9472,37,0,0,
20160819T102237.282769,44,0,463,53199,52992,1,52992,65792,1837,0,464,13684944,0,464,1,256,7,11776,1,53713,53713,0,465,1,0,1,1,
20160816T181539.274957,214,54784,1,54784,257,0,1844,1,14145495,55040,1,14090241,256,7,13568,1,55512,55512,0,472,1,256,7,13824,54,0,0,
20160819T124741.282769,61,0,480,57568,57344,1,57344,65792,1854,0,481,14803425,0,481,1,256,7,16128,1,58082,58082,0,482,1,0,1,1,
20160816T181613.274957,231,59136,1,59136,257,0,1861,1,15263976,59392,1,15204353,256,7,17920,1,59881,59881,0,489,1,256,7,18176,71,0,0,
20160819T151245.282769,78,0,497,61937,61696,1,61696,65792,1871,0,498,15921906,0,498,1,256,7,20480,1,62451,62451,0,499,1,0,1,1,
20160816T181647.274957,248,63488,1,63488,257,0,1878,1,16382457,63744,1,16318465,256,7,22272,1,64250,64250,0,506,1,256,7,22528,88,0,0,
20160819T173749.282769,95,0,258,514,512,2,512,131328,1888,0,259,197379,0,515,2,256,7,24832,1,1028,1028,0,516,2,0,2,1,
20160816T181721.274957,9,2304,2,2304,513,0,1895,1,657930,2560,2,655362,256,7,26624,1,2827,2827,0,523,2,256,7,26880,105,0,0,
20160819T200253.290582,112,0,275,4883,4864,2,4864,131328,1905,0,276,1315860,0,532,2,256,7,29184,1,5397,5397,0,533,2,0,2,1,
20160816T181755.274957,26,6656,2,6656,513,0,1912,1,1776411,6912,2,1769474,256,7,30976,1,7196,7196,0,540,2,256,7,31232,122,0,0,
20160819T222757.290582,128,65295,65295,65295,65295,65295,65295,16715775,1048335,65295,65295,16715775,4095,4095,4095,3840,0,0,0,0,0,0,0,0,0,0,0,
20160816T171421.274957,129,0,292,9252,9216,2,9216,131328,1922,0,293,2434341,0,549,2,256,7,33536,1,9766,9766,0,550,2,0,2,1,
20160816T181829.274957,43,11008,2,11008,513,0,1929,1,2894892,11264,2,2883586,256,7,35328,1,11565,11565,0,557,2,256,7,35584,139,0,0,
20160820T005301.290582,146,0,309,13621,13568,2,13568,131328,1939,0,310,3552822,0,566,2,256,7,37888,1,14135,14135,0,567,2,0,2,1,
20160816T181903.274957,60,15360,2,15360,513,0,1946,1,4013373,15616,2,3997698,256,7,39680,1,15934,15934,0,574,2,256,7,39936,156,0,0,
20160820T031805.290582,163,0,326,17990,17920,2,17920,131328,1956,0,327,4671303,0,583,2,256,7,42240,1,18504,18504,0,584,2,0,2,1,
20160816T181937.274957,77,19712,2,19712,513,0,1963,1,5131854,19968,2,5111810,256,7,44032,1,20303,20303,0,591,2,256,7,44288,173,0,0,
20160820T054309.290582,180,0,343,22359,22272,2,22272,131328,1973,0,344,5789784,0,600,2,256,7,46592,1,22873,22873,0,601,2,0,2,1,
20160816T182011.274957,94,24064,2,24064,513,0,1980,1,6250335,24320,2,6225922,256,7,48384,1,24672,24672,0,608,2,256,7,48640,190,0,0,
20160820T080813.290582,197,0,360,26728,26624,2,26624,131328,1990,0,361,6908265,0,617,2,256,7,50944,1,27242,27242,0,618,2,0,2,1,
20160816T182045.274957,111,28416,2,28416,513,0,1997,1,7368816,28672,2,7340034,256,7,52736,1,29041,29041,0,625,2,256,7,52992,207,0,0,
20160820T103317.290582,214,0,377,31097,30976,2,30976,131328,2007,0,378,8026746,0,634,2,256,7,55296,1,31611,31611,0,635,2,0,2,1,
20160816T182119.274957,128,32768,2,32768,513,0,2014,1,8487297,33024,2,8454146,256,7,57088,1,33410,33410,0,642,2,256,7,57344,224,0,0,
20160820T125821.290582,231,0,394,35466,35328,2,35328,131328,2024,0,395,9145227,0,651,2,256,7,59648,1,35980,35980,0,652,2,0,2,1,
20160816T182153.274957,145,37120,2,37120,513,0,2031,1,9605778,37376,2,9568258,256,7,61440,1,37779,37779,0,659,2,256,7,61696,241,0,0,
20160820T152325.290582,248,0,411,39835,39680,2,39680,131328,2041,0,412,10263708,0,668,2,256,7,64000,1,40349,40349,0,669,2,0,2,1,
20160816T182227.274957,162,41472,2,41472,513,0,2048,1,10724259,41728,2,10682370,0,8,255,4095,4095,4095,4095,4095,4095,4095,4095,4095,15,255,15,
20160816T171421.274957,163,41891,41891,41891,41891,41891,256,2049,1,42148,42148,2,41984,513,0,2050,0,421,42405,42240,2,42240,513,0,0,0,8,
20160816T182245.274957,171,43776,2,43776,513,0,2057,1,11316396,44032,2,11272194,256,8,2560,1,44461,44461,0,685,2,256,8,2816,11,0,0,
20160820T190517.290582,18,0,437,46517,46336,2,46336,131328,2067,0,438,11974326,0,694,2,256,8,5120,1,47031,47031,0,695,2,0,2,1,
20160816T182319.274957,188,48128,2,48128,513,0,2074,1,12434877,48384,2,12386306,256,8,6912,1,48830,48830,0,702,2,256,8,7168,28,0,0,
20160820T213021.290582,35,0,454,50886,50688,2,50688,131328,2084,0,455,13092807,0,711,2,256,8,9472,1,51400,51400,0,712,2,0,2,1,
20160816T182353.274957,205,52480,2,52480,513,0,2091,1,13553358,52736,2,13500418,256,8,11264,1,53199,53199,0,719,2,256,8,11520,45,0,0,
20160820T235525.290582,52,0,471,55255,55040,2,55040,131328,2101,0,472,14211288,0,728,2,256,8,13824,1,55769,55769,0,729,2,0,2,1,
20160816T182427.274957,222,56832,2,56832,513,0,2108,1,14671839,57088,2,14614530,256,8,15616,1,57568,57568,0,736,2,256,8,15872,62,0,0,
20160821T022029.290582,69,0,488,59624,59392,2,59392,131328,2118,0,489,15329769,0,745,2,256,8,18176,1,60138,60138,0,746,2,0,2,1,
20160816T182501.274957,239,61184,2,61184,513,0,2125,1,15790320,61440,2,15728642,256,8,19968,1,61937,61937,0,753,2,256,8,20224,79,0,0,
20160821T044533.290582,86,0,505,63993,63744,2,63744,131328,2135,0,506,16448250,0,762,2,256,8,22528,1,64507,64507,0,763,2,0,2,1,
20160816T182535.274957,0,0,3,0,769,0,2142,1,65793,256,3,65539,256,8,24320,1,514,514,0,770,3,256,8,24576,96,0,0,
20160821T071037.298395,103,0,266,2570,2560,3,2560,196864,2152,0,267,723723,0,779,3,256,8,26880,1,3084,3084,0,780,3,0,3,1,
20160816T182609.274957,17,4352,3,4352,769,0,2159,1,1184274,4608,3,1179651,256,8,28672,1,4883,4883,0,787,3,256,8,28928,113,0,0,
20160821T093541.298395,120,0,283,6939,6912,3,6912,196864,2169,0,284,1842204,0,796,3,256,8,31232,1,7453,7453,0,797,3,0,3,1,
20160816T182643.274957,34,8704,3,8704,769,0,2176,1,2302755,8960,3,2293763,0,8,33023,4095,4095,4095,4095,4095,4095,4095,4095,4095,15,255,15,
20160816T171421.274957,35,8995,8995,8995,8995,8995,256,2177,1,9252,9252,3,9216,769,0,2178,0,293,9509,9472,3,9472,769,0,0,0,8,
20160816T182701.274957,43,11008,3,11008,769,0,2185,1,2894892,11264,3,2883587,256,8,35328,1,11565,11565,0,813,3,256,8,35584,139,0,0,
20160821T131733.298395,146,0,309,13621,13568,3,13568,196864,2195,0,310,3552822,0,822,3,256,8,37888,1,14135,14135,0,823,3,0,3,1,
20160816T182735.274957,60,15360,3,15360,769,0,2202,1,4013373,15616,3,3997699,256,8,39680,1,15934,15934,0,830,3,256,8,39936,156,0,0,
20160821T154237.298395,163,0,326,17990,17920,3,17920,196864,2212,0,327,4671303,0,839,3,256,8,42240,1,18504,18504,0,840,3,0,3,1,
20160816T182809.274957,77,19712,3,19712,769,0,2219,1,5131854,19968,3,5111811,256,8,44032,1,20303,20303,0,847,3,256,8,44288,173,0,0,
20160821T180741.298395,180,0,343,22359,22272,3,22272,196864,2229,0,344,5789784,0,856,3,256,8,46592,1,22873,22873,0,857,3,0,3,1,
20160816T182843.274957,94,24064,3,24064,769,0,2236,1,6250335,24320,3,6225923,256,8,48384,1,24672,24672,0,864,3,256,8,48640,190,0,0,
20160821T203245.298395,197,0,360,26728,26624,3,26624,196864,2246,0,361,6908265,0,873,3,256,8,50944,1,27242,27242,0,874,3,0,3,1,
20160816T182917.274957,111,28416,3,28416,769,0,2253,1,7368816,28672,3,7340035,256,8,52736,1,29041,29041,0,881,3,256,8,52992,207,0,0,
20160821T225749.298395,214,0,377,31097,30976,3,30976,196864,2263,0,378,8026746,0,890,3,256,8,55296,1,31611,31611,0,891,3,0,3,1,
20160816T182951.274957,128,32768,3,32768,769,0,2270,1,8487297,33024,3,8454147,256,8,57088,1,33410,33410,0,898,3,256,8,57344,224,0,0,
20160822T012253.298395,231,0,394,35466,35328,3,35328,196864,2280,0,395,9145227,0,907,3,256,8,59648,1,35980,35980,0,908,3,0,3,1,
20160816T183025.274957,145,37120,3,37120,769,0,2287,1,9605778,37376,3,9568259,256,8,61440,1,37779,37779,0,915,3,256,8,61696,241,0,0,
20160822T034757.298395,248,0,411,39835,39680,3,39680,196864,2297,0,412,10263708,0,924,3,256,8,64000,1,40349,40349,0,925,3,0,3,1,
20160816T183059.274957,162,41472,3,41472,769,0,2304,1,10724259,41728,3,10682371,0,9,255,4095,4095,4095,4095,4095,4095,4095,4095,4095,15,255,15,
20160816T171421.274957,163,41891,41891,41891,41891,41891,256,2305,1,42148,42148,3,41984,769,0,2306,0,421,42405,42240,3,42240,769,0,0,0,9,
20160816T183117.274957,171,43776,3,43776,769,0,2313,1,11316396,44032,3,11272195,256,9,2560,1,44461,44461,0,941,3,256,9,2816,11,0,0,
20160822T072949.298395,18,0,437,46517,46336,3,46336,196864,2323,0,438,11974326,0,950,3,256,9,5120,1,47031,47031,0,951,3,0,3,1,
20160816T183151.274957,188,48128,3,48128,769,0,2330,1,12434877,48384,3,12386307,256,9,6912,1,48830,48830,0,958,3,256,9,7168,28,0,0,
20160822T095453.298395,35,0,454,50886,50688,3,50688,196864,2340,0,455,13092807,0,967,3,256,9,9472,1,51400,51400,0,968,3,0,3,1,
20160816T183225.274957,205,52480,3,52480,769,0,2347,1,13553358,52736,3,13500419,256,9,11264,1,53199,53199,0,975,3,256,9,11520,45,0,0,
20160822T121957.298395,52,0,471,55255,55040,3,55040,196864,2357,0,472,14211288,0,984,3,256,9,13824,1,55769,55769,0,985,3,0,3,1,
20160816T183259.274957,222,56832,3,56832,769,0,2364,1,14671839,57088,3,14614531,256,9,15616,1,57568,57568,0,992,3,256,9,15872,62,0,0,
20160822T144501.298395,69,0,488,59624,59392,3,59392,196864,2374,0,489,15329769,0,1001,3,256,9,18176,1,60138,60138,0,1002,3,0,3,1,
20160816T183333.274957,239,61184,3,61184,769,0,2381,1,15790320,61440,3,15728643,256,9,19968,1,61937,61937,0,1009,3,256,9,20224,79,0,0,
20160822T171005.298395,86,0,505,63993,63744,3,63744,196864,2391,0,506,16448250,0,1018,3,256,9,22528,1,64507,64507,0,1019,3,0,3,1,
20160816T183407.274957,0,0,4,0,1025,0,2398,1,65793,256,4,65540,256,9,24320,1,514,514,0,1026,4,256,9,24576,96,0,0,
20160822T193509.306207,103,0,266,2570,2560,4,2560,262400,2408,0,267,723723,0,1035,4,256,9,26880,1,3084,3084,0,1036,4,0,4,1,
20160816T183441.274957,17,4352,4,4352,1025,0,2415,1,1184274,4608,4,1179652,256,9,28672,1,4883,4883,0,1043,4,256,9,28928,113,0,0,
20160822T220013.306207,120,0,283,6939,6912,4,6912,262400,2425,0,284,1842204,0,1052,4,256,9,31232,1,7453,7453,0,1053,4,0,4,1,
20160816T183515.274957,34,8704,4,8704,1025,0,2432,1,2302755,8960,4,2293764,0,9,33023,4095,4095,4095,4095,4095,4095,4095,4095,4095,15,255,15,
20160816T171421.274957,35,8995,8995,8995,8995,8995,256,2433,1,9252,9252,4,9216,1025,0,2434,0,293,9509,9472,4,9472,1025,0,0,0,9,
20160816T183533.274957,43,11008,4,11008,1025,0,2441,1,2894892,11264,4,2883588,256,9,35328,1,11565,11565,0,1069,4,256,9,35584,139,0,0,
20160823T014205.306207,146,0,309,13621,13568,4,13568,262400,2451,0,310,3552822,0,1078,4,256,9,37888,1,14135,14135,0,1079,4,0,4,1,
20160816T183607.274957,60,15360,4,15360,1025,0,2458,1,4013373,15616,4,3997700,256,9,39680,1,15934,15934,0,1086,4,256,9,39936,156,0,0,
20160823T040709.306207,163,0,326,17990,17920,4,17920,262400,2468,0,327,4671303,0,1095,4,256,9,42240,1,18504,18504,0,1096,4,0,4,1,
20160816T183641.274957,77,19712,4,19712,1025,0,2475,1,5131854,19968,4,5111812,256,9,44032,1,20303,20303,0,1103,4,256,9,44288,173,0,0,
20160823T063213.306207,180,0,343,22359,22272,4,22272,262400,2485,0,344,5789784,0,1112,4,256,9,46592,1,22873,22873,0,1113,4,0,4,1,
20160816T183715.274957,94,24064,4,24064,1025,0,2492,1,6250335,24320,4,6225924,256,9,48384,1,24672,24672,0,1120,4,256,9,48640,190,0,0,
20160823T085717.306207,197,0,360,26728,26624,4,26624,262400,2502,0,361,6908265,0,1129,4,256,9,50944,1,27242,27242,0,1130,4,0,4,1,
20160816T183749.274957,111,28416,4,28416,1025,0,2509,1,7368816,28672,4,7340036,256,9,52736,1,29041,29041,0,1137,4,256,9,52992,207,0,0,
20160823T112221.306207,214,0,377,31097,30976,4,30976,262400,2519,0,378,8026746,0,1146,4,256,9,55296,1,31611,31611,0,1147,4,0,4,1,
20160816T183823.274957,128,32768,4,32768,1025,0,2526,1,8487297,33024,4,8454148,256,9,57088,1,33410,33410,0,1154,4,256,9,57344,224,0,0,
20160823T134725.306207,231,0,394,35466,35328,4,35328,262400,2536,0,395,9145227,0,1163,4,256,9,59648,1,35980,35980,0,1164,4,0,4,1,
20160816T183857.274957,145,37120,4,37120,1025,0,2543,1,9605778,37376,4,9568260,256,9,61440,1,37779,37779,0,1171,4,256,9,61696,241,0,0,
20160823T161229.306207,248,0,411,39835,39680,4,39680,262400,2553,0,412,10263708,0,1180,4,256,9,64000,1,40349,40349,0,1181,4,0,4,1,
20160816T183931.274957,162,41472,4,41472,1025,0,2560,1,10724259,41728,4,10682372,0,10,255,4095,4095,4095,4095,4095,4095,4095,4095,4095,15,255,15,
20160816T171421.274957,163,41891,41891,41891,41891,41891,256,2561,1,42148,42148,4,41984,1025,0,2562,0,421,42405,42240,4,42240,1025,0,0,0,10,
20160816T183949.274957,171,43776,4,43776,1025,0,2569,1,11316396,44032,4,11272196,256,10,2560,1,44461,44461,0,1197,4,256,10,2816,11,0,0,
20160823T195421.306207,18,0,437,46517,46336,4,46336,262400,2579,0,438,11974326,0,1206,4,256,10,5120,1,47031,47031,0,1207,4,0,4,1,
20160816T184023.274957,188,48128,4,48128,1025,0,2586,1,12434877,48384,4,12386308,256,10,6912,1,48830,48830,0,1214,4,256,10,7168,28,0,0,
20160823T221925.306207,35,0,454,50886,50688,4,50688,262400,2596,0,455,13092807,0,1223,4,256,10,9472,1,51400,51400,0,1224,4,0,4,1,
20160816T184057.274957,205,52480,4,52480,1025,0,2603,1,13553358,52736,4,13500420,256,10,11264,1,53199,53199,0,1231,4,256,10,11520,45,0,0,
20160824T004429.306207,52,0,471,55255,55040,4,55040,262400,2613,0,472,14211288,0,1240,4,256,10,13824,1,55769,55769,0,1241,4,0,4,1,
20160816T184131.274957,222,56832,4,56832,1025,0,2620,1,14671839,57088,4,14614532,256,10,15616,1,57568,57568,0,1248,4,256,10,15872,62,0,0,
20160824T030933.306207,69,0,488,59624,59392,4,59392,262400,2630,0,489,15329769,0,1257,4,256,10,18176,1,60138,60138,0,1258,4,0,4,1,
20160816T184205.274957,239,61184,4,61184,1025,0,2637,1,15790320,61440,4,15728644,256,10,19968,1,61937,61937,0,1265,4,256,10,20224,79,0,0,
20160824T053437.306207,86,0,505,63993,63744,4,63744,262400,2647,0,506,16448250,0,1274,4,256,10,22528,1,64507,64507,0,1275,4,0,4,1,
20160816T184239.274957,0,0,5,0,1281,0,2654,1,65793,256,5,65541,256,10,24320,1,514,514,0,1282,5,256,10,24576,96,0,0,
20160824T075941.314019,103,0,266,2570,2560,5,2560,327936,2664,0,267,723723,0,1291,5,256,10,26880,1,3084,3084,0,1292,5,0,5,1,
20160816T184313.274957,17,4352,5,4352,1281,0,2671,1,1184274,4608,5,1179653,256,10,28672,1,4883,4883,0,1299,5,256,10,28928,113,0,0,
20160824T102445.314019,120,0,283,6939,6912,5,6912,327936,2681,0,284,1842204,0,1308,5,256,10,31232,1,7453,7453,0,1309,5,0,5,1,
20160816T184347.274957,34,8704,5,8704,1281,0,2688,1,2302755,8960,5,2293765,0,10,33023,4095,4095,4095,4095,4095,4095,4095,4095,4095,15,255,15,
