08/30/2016 02:05:39 PM n_total 10 n_fib 10, n_fob 0, n_fsc 0
08/30/2016 02:06:59 PM n_total 4498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:00 PM n_total 4626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:01 PM n_total 4754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:02 PM n_total 4882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:03 PM n_total 5010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:04 PM n_total 5138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:05 PM n_total 5266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:06 PM n_total 5394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:07 PM n_total 5522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:08 PM n_total 5650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:09 PM n_total 5778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:10 PM n_total 5906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:11 PM n_total 6034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:12 PM n_total 6162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:13 PM n_total 6290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:14 PM n_total 6418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:15 PM n_total 6546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:16 PM n_total 6674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:17 PM n_total 6802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:18 PM n_total 6930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:19 PM n_total 7058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:20 PM n_total 7186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:21 PM n_total 7314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:22 PM n_total 7442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:23 PM n_total 7570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:24 PM n_total 7698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:25 PM n_total 7826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:26 PM n_total 7954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:27 PM n_total 8082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:28 PM n_total 8210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:29 PM n_total 8338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:30 PM n_total 8466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:31 PM n_total 8594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:32 PM n_total 8722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:33 PM n_total 8850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:34 PM n_total 8978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:35 PM n_total 9106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:36 PM n_total 9234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:37 PM n_total 9362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:38 PM n_total 9490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:39 PM n_total 9618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:40 PM n_total 9746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:41 PM n_total 9874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:42 PM n_total 10002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:43 PM n_total 10130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:44 PM n_total 10258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:45 PM n_total 10386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:46 PM n_total 10514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:47 PM n_total 10642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:48 PM n_total 10770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:49 PM n_total 10898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:50 PM n_total 11026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:51 PM n_total 11154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:52 PM n_total 11282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:53 PM n_total 11410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:54 PM n_total 11538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:55 PM n_total 11666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:56 PM n_total 11794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:57 PM n_total 11922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:58 PM n_total 12050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:07:59 PM n_total 12178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:00 PM n_total 12306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:01 PM n_total 12434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:02 PM n_total 12562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:03 PM n_total 12690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:04 PM n_total 12818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:05 PM n_total 12946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:06 PM n_total 13074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:07 PM n_total 13202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:08 PM n_total 13330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:09 PM n_total 13458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:10 PM n_total 13586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:11 PM n_total 13714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:12 PM n_total 13842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:13 PM n_total 13970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:14 PM n_total 14098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:15 PM n_total 14226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:16 PM n_total 14354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:17 PM n_total 14482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:18 PM n_total 14610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:19 PM n_total 14738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:20 PM n_total 14866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:21 PM n_total 14994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:22 PM n_total 15122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:23 PM n_total 15250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:24 PM n_total 15378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:25 PM n_total 15506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:26 PM n_total 15634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:27 PM n_total 15762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:28 PM n_total 15890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:29 PM n_total 16018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:30 PM n_total 16146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:31 PM n_total 16274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:32 PM n_total 16402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:33 PM n_total 16530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:34 PM n_total 16658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:35 PM n_total 16786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:36 PM n_total 16914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:37 PM n_total 17042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:38 PM n_total 17170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:39 PM n_total 17298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:40 PM n_total 17426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:41 PM n_total 17554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:42 PM n_total 17682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:43 PM n_total 17810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:44 PM n_total 17938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:45 PM n_total 18066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:46 PM n_total 18194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:47 PM n_total 18322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:48 PM n_total 18450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:49 PM n_total 18578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:50 PM n_total 18706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:51 PM n_total 18834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:52 PM n_total 18962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:53 PM n_total 19090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:54 PM n_total 19218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:55 PM n_total 19346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:56 PM n_total 19474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:57 PM n_total 19602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:58 PM n_total 19730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:08:59 PM n_total 19858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:00 PM n_total 19986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:01 PM n_total 20114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:02 PM n_total 20242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:03 PM n_total 20370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:04 PM n_total 20498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:05 PM n_total 20626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:06 PM n_total 20754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:07 PM n_total 20882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:08 PM n_total 21010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:09 PM n_total 21138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:10 PM n_total 21266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:11 PM n_total 21394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:12 PM n_total 21522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:13 PM n_total 21650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:14 PM n_total 21778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:15 PM n_total 21906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:16 PM n_total 22034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:17 PM n_total 22162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:18 PM n_total 22290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:19 PM n_total 22418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:20 PM n_total 22546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:21 PM n_total 22674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:22 PM n_total 22802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:23 PM n_total 22930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:24 PM n_total 23058 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:25 PM n_total 23186 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:26 PM n_total 23314 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:27 PM n_total 23442 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:28 PM n_total 23570 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:29 PM n_total 23698 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:30 PM n_total 23826 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:31 PM n_total 23954 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:32 PM n_total 24082 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:33 PM n_total 24210 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:34 PM n_total 24338 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:35 PM n_total 24466 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:36 PM n_total 24594 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:37 PM n_total 24722 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:38 PM n_total 24850 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:39 PM n_total 24978 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:40 PM n_total 25106 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:41 PM n_total 25234 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:42 PM n_total 25362 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:43 PM n_total 25490 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:44 PM n_total 25618 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:45 PM n_total 25746 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:46 PM n_total 25874 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:47 PM n_total 26002 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:48 PM n_total 26130 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:49 PM n_total 26258 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:50 PM n_total 26386 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:51 PM n_total 26514 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:52 PM n_total 26642 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:53 PM n_total 26770 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:54 PM n_total 26898 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:55 PM n_total 27026 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:56 PM n_total 27154 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:57 PM n_total 27282 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:58 PM n_total 27410 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:09:59 PM n_total 27538 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:00 PM n_total 27666 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:01 PM n_total 27794 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:02 PM n_total 27922 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:03 PM n_total 28050 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:04 PM n_total 28178 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:05 PM n_total 28306 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:06 PM n_total 28434 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:07 PM n_total 28562 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:08 PM n_total 28690 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:09 PM n_total 28818 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:10 PM n_total 28946 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:11 PM n_total 29074 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:12 PM n_total 29202 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:13 PM n_total 29330 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:14 PM n_total 29458 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:15 PM n_total 29586 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:16 PM n_total 29714 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:17 PM n_total 29842 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:18 PM n_total 29970 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:19 PM n_total 30098 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:20 PM n_total 30226 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:21 PM n_total 30354 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:22 PM n_total 30482 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:23 PM n_total 30610 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:24 PM n_total 30738 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:25 PM n_total 30866 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:26 PM n_total 30994 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:27 PM n_total 31122 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:28 PM n_total 31250 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:29 PM n_total 31378 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:30 PM n_total 31506 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:31 PM n_total 31634 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:32 PM n_total 31762 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:33 PM n_total 31890 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:34 PM n_total 32018 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:35 PM n_total 32146 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:36 PM n_total 32274 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:37 PM n_total 32402 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:38 PM n_total 32530 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:39 PM n_total 32658 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:40 PM n_total 32786 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:41 PM n_total 32914 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:42 PM n_total 33042 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:43 PM n_total 33170 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:44 PM n_total 33298 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:45 PM n_total 33426 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:46 PM n_total 33554 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:47 PM n_total 33682 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:48 PM n_total 33810 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:49 PM n_total 33938 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:50 PM n_total 34066 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:51 PM n_total 34194 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:52 PM n_total 34322 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:53 PM n_total 34450 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:54 PM n_total 34578 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:55 PM n_total 34706 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:56 PM n_total 34834 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:57 PM n_total 34962 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:58 PM n_total 35090 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:10:59 PM n_total 35218 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:00 PM n_total 35346 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:01 PM n_total 35474 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:02 PM n_total 35602 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:03 PM n_total 35730 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:04 PM n_total 35858 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:05 PM n_total 35986 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:06 PM n_total 36114 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:07 PM n_total 36242 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:08 PM n_total 36370 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:09 PM n_total 36498 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:10 PM n_total 36626 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:11 PM n_total 36754 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:12 PM n_total 36882 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:13 PM n_total 37010 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:14 PM n_total 37138 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:15 PM n_total 37266 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:16 PM n_total 37394 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:17 PM n_total 37522 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:18 PM n_total 37650 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:19 PM n_total 37778 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:20 PM n_total 37906 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:21 PM n_total 38034 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:22 PM n_total 38162 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:23 PM n_total 38290 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:24 PM n_total 38418 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:25 PM n_total 38546 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:26 PM n_total 38674 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:27 PM n_total 38802 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:28 PM n_total 38930 n_fib 128, n_fob 0, n_fsc 0
08/30/2016 02:11:29 PM n_total 39058 n_fib 128, n_fob 0, n_fsc 0
